"","country","donations","receipts","net_donations"
"1","United States",29177437549,0,29177437549
"2","Japan",17450145560,0,17450145560
"3","Germany",14912763781,0,14912763781
"4","France",10256169048,0,10256169048
"5","United Arab Emirates",7447792784,0,7447792784
"6","Korea",7064438453,0,7064438453
"7","United Kingdom",6534885824,0,6534885824
"8","Norway",4651265869,0,4651265869
"9","Australia",4366620906,0,4366620906
"10","Sweden",4062156032,0,4062156032
"11","Switzerland",3573852123,0,3573852123
"12","Canada",3392683782,0,3392683782
"13","Netherlands",3244330226,0,3244330226
"14","Denmark",2084087757,0,2084087757
"15","Belgium",1589006316,0,1589006316
"16","Spain",1048705516,0,1048705516
"17","Kuwait",944720523,0,944720523
"18","Finland",888823131,0,888823131
"19","Italy",887546406,0,887546406
"20","Austria",854199137,0,854199137
"21","Ireland",530869905,0,530869905
"22","New Zealand",389220078,0,389220078
"23","Portugal",313184709,0,313184709
"24","Luxembourg",302344688,0,302344688
"25","Poland",136907374,0,136907374
"26","Czech Republic",53378639,0,53378639
"27","Greece",40695643,0,40695643
"28","Iceland",29398946,0,29398946
"29","Slovenia",19819791,0,19819791
"30","Estonia",17985924,0,17985924
"31","Slovak Republic",13774917,0,13774917
"32","Anguilla",0,2865914,-2865914
"33","Grenada",0,3608022,-3608022
"34","St. Lucia",0,4794299,-4794299
"35","St.Vincent & Grenadines",0,10622498,-10622498
"36","Equatorial Guinea",0,12898165,-12898165
"37","St. Kitts & Nevis",0,17465957,-17465957
"38","Dominica",0,18770989,-18770989
"39","Antigua & Barbuda",0,20353461,-20353461
"40","Tokelau",0,22333641,-22333641
"41","Niue",0,22538179,-22538179
"42","Palau",0,25742615,-25742615
"43","Montserrat",0,30755073,-30755073
"44","Eritrea",0,34637891,-34637891
"45","Nauru",0,36661208,-36661208
"46","Cook Islands",0,41640930,-41640930
"47","Tuvalu",0,44050324,-44050324
"48","Venezuela",0,47101688,-47101688
"49","Turkmenistan",0,50220887,-50220887
"50","St. Helena",0,52197326,-52197326
"51","Sao Tome & Principe",0,53392996,-53392996
"52","Belize",0,53680341,-53680341
"53","Korea, Democratic Republic of",0,62887201,-62887201
"54","Kiribati",0,67693019,-67693019
"55","Maldives",0,85225399,-85225399
"56","Seychelles",0,88013739,-88013739
"57","Malaysia",0,88346663,-88346663
"58","Swaziland",0,89691865,-89691865
"59","Guinea-Bissau",0,90222046,-90222046
"60","Tonga",0,93346528,-93346528
"61","Marshall Islands",0,97539076,-97539076
"62","Botswana",0,113272603,-113272603
"63","Congo, Republic of",0,117331802,-117331802
"64","Vanuatu",0,118656655,-118656655
"65","Gabon",0,119310267,-119310267
"66","Comoros",0,121700690,-121700690
"67","Wallis & Futuna",0,124142512,-124142512
"68","Cuba",0,126013831,-126013831
"69","Guyana",0,132651453,-132651453
"70","Fiji",0,132954476,-132954476
"71","Suriname",0,141613781,-141613781
"72","Bhutan",0,149446789,-149446789
"73","Samoa",0,152939612,-152939612
"74","Micronesia, Federated States of",0,155838351,-155838351
"75","Gambia",0,165129933,-165129933
"76","Libya",0,185073190,-185073190
"77","Lesotho",0,199612296,-199612296
"78","Central African Republic",0,240951044,-240951044
"79","Macedonia, FYR",0,258270862,-258270862
"80","Togo",0,298203942,-298203942
"81","Solomon Islands",0,316272581,-316272581
"82","Djibouti",0,324650482,-324650482
"83","Jamaica",0,362235717,-362235717
"84","Timor-Leste",0,363872806,-363872806
"85","Montenegro",0,376667607,-376667607
"86","Thailand",0,383198909,-383198909
"87","Kyrgyz Republic",0,418003747,-418003747
"88","Angola",0,440080063,-440080063
"89","Mauritius",0,443003460,-443003460
"90","Iran",0,451590214,-451590214
"91","Chad",0,457471739,-457471739
"92","Cape Verde",0,464888305,-464888305
"93","Tajikistan",0,478440873,-478440873
"94","Mongolia",0,481171778,-481171778
"95","Paraguay",0,505066604,-505066604
"96","Laos",0,534799774,-534799774
"97","Belarus",0,540898135,-540898135
"98","Zimbabwe",0,550282958,-550282958
"99","El Salvador",0,562153371,-562153371
"100","Algeria",0,563847139,-563847139
"101","Costa Rica",0,580364356,-580364356
"102","Madagascar",0,580523647,-580523647
"103","Sierra Leone",0,589880611,-589880611
"104","Burundi",0,601388857,-601388857
"105","Guatemala",0,605022956,-605022956
"106","Namibia",0,609600628,-609600628
"107","Benin",0,640840689,-640840689
"108","Armenia",0,668385594,-668385594
"109","Kosovo",0,669343271,-669343271
"110","Moldova",0,688271866,-688271866
"111","Nicaragua",0,702073481,-702073481
"112","Chile",0,739607254,-739607254
"113","Mauritania",0,748527737,-748527737
"114","Panama",0,759158455,-759158455
"115","Guinea",0,761786556,-761786556
"116","Albania",0,763742217,-763742217
"117","Liberia",0,784175495,-784175495
"118","Bolivia",0,795662750,-795662750
"119","Uruguay",0,819984417,-819984417
"120","Papua New Guinea",0,832273996,-832273996
"121","Somalia",0,833783350,-833783350
"122","Cameroon",0,869016063,-869016063
"123","Dominican Republic",0,878086719,-878086719
"124","Honduras",0,900385199,-900385199
"125","Ecuador",0,988551947,-988551947
"126","Azerbaijan",0,1003146565,-1003146565
"127","Georgia",0,1019580776,-1019580776
"128","Lebanon",0,1052744893,-1052744893
"129","Bosnia-Herzegovina",0,1071275794,-1071275794
"130","Niger",0,1090048943,-1090048943
"131","Kazakhstan",0,1142299317,-1142299317
"132","Peru",0,1192432945,-1192432945
"133","Cambodia",0,1198909967,-1198909967
"134","Haiti",0,1251424269,-1251424269
"135","Burkina Faso",0,1259236795,-1259236795
"136","Argentina",0,1323131673,-1323131673
"137","Ghana",0,1335666924,-1335666924
"138","Senegal",0,1352634767,-1352634767
"139","Sudan",0,1355084611,-1355084611
"140","Sri Lanka",0,1380416588,-1380416588
"141","Rwanda",0,1425556468,-1425556468
"142","Yemen",0,1432081153,-1432081153
"143","Zambia",0,1483322988,-1483322988
"144","Malawi",0,1488021838,-1488021838
"145","Iraq",0,1517117272,-1517117272
"146","Tunisia",0,1538391543,-1538391543
"147","Nepal",0,1684234038,-1684234038
"148","Cote d`Ivoire",0,1864309235,-1864309235
"149","Serbia",0,1894022125,-1894022125
"150","South Sudan",0,1911003647,-1911003647
"151","South Africa",0,1923363357,-1923363357
"152","Uganda",0,2136191368,-2136191368
"153","Congo, Democratic Republic of",0,2165868758,-2165868758
"154","Uzbekistan",0,2204304638,-2204304638
"155","Syria",0,2354978661,-2354978661
"156","Ukraine",0,2359096447,-2359096447
"157","Mali",0,2454230826,-2454230826
"158","Jordan",0,2534195698,-2534195698
"159","Palestinian Adm. Areas",0,2658922036,-2658922036
"160","Mozambique",0,2723181508,-2723181508
"161","Colombia",0,2852212681,-2852212681
"162","Ethiopia",0,3161148521,-3161148521
"163","Kenya",0,3226405557,-3226405557
"164","Mexico",0,3250848015,-3250848015
"165","Philippines",0,3374716987,-3374716987
"166","Tanzania",0,3524141032,-3524141032
"167","Pakistan",0,3648962110,-3648962110
"168","Nigeria",0,3767429921,-3767429921
"169","Bangladesh",0,5312741781,-5312741781
"170","Morocco",0,5385117347,-5385117347
"171","Indonesia",0,5813383406,-5813383406
"172","Afghanistan",0,6654715941,-6654715941
"173","Myanmar",0,6861162224,-6861162224
"174","Brazil",0,7073020172,-7073020172
"175","Viet Nam",0,7937785616,-7937785616
"176","China",0,8265151606,-8265151606
"177","Turkey",0,8345412742,-8345412742
"178","Egypt",0,8664124938,-8664124938
"179","India",0,9520288319,-9520288319
